FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Italy	Gambia	0.2586838603523826	0.01473632931433443
Jersey	Gambia	1.395383778401586	0.07465594933625624
Leningrad_region	Gambia	1.038264356187689	0.05663134819145049
Luxembourg	Gambia	1.471955287674187	0.0784313725490196
Netherlands	Gambia	8.25105211714613	0.32298136645962733
Poland	Gambia	2.597107270422196	0.13055657045426866
Scotland	Gambia	0.5476139724592622	0.030690537084398978
Spain	Gambia	2.76004608559441	0.13762026549750334
Wales	Gambia	6.620514286692535	0.27682377298745586
Isle_of_Man	Germany	1.4150842879231387	0.07563025210084033
Italy	Germany	0.2847608474638321	0.01619778346121057
Jersey	Germany	0.8740676150099564	0.04810619900133967
Leningrad_region	Germany	1.0146262192790256	0.05541346973572037
Luxembourg	Germany	1.0881036466360448	0.05918889294848374
Netherlands	Germany	4.78711628700134	0.21678236511996102
Poland	Germany	823.0189761884051	0.979417854098161
Scotland	Germany	0.36126317765371696	0.020460358056265986
Spain	Germany	0.2760599142900456	0.015710632078918523
Wales	Germany	1.174175803999171	0.06357325538911217
Italy	Isle_of_Man	0.2024482614423745	0.011569845329436123
Jersey	Isle_of_Man	0.9886945713655508	0.05407380343441724
Leningrad_region	Isle_of_Man	1.0028299940184595	0.05480453050785532
Luxembourg	Isle_of_Man	1.2320064120122307	0.06649616368286446
Netherlands	Isle_of_Man	0.07403884687573502	0.004262574595055414
Poland	Isle_of_Man	0.3196509203542028	0.01814638899037876
Scotland	Isle_of_Man	0.429580560584644	0.024235781269029352
Spain	Isle_of_Man	0.3744447661627317	0.021191085129704055
Wales	Isle_of_Man	1.4200159059827315	0.07587382779198636
Jersey	Italy	0.9347105031196772	0.05127268298623797
Leningrad_region	Italy	0.853169738945211	0.04701010839118256
Luxembourg	Italy	1.290200306137661	0.06941907197661673
Netherlands	Italy	1.2950663029792133	0.06966264766776276
Poland	Italy	20.54442470058764	0.5429302155644866
Scotland	Italy	0.7105025713421618	0.03945926196565583
Spain	Italy	141995.84671367638	1.0
Wales	Italy	0.9604891425934147	0.052612349287541105
Leningrad_region	Jersey	2.45875296592509	0.12446717817561807
Luxembourg	Jersey	0.9511066608908502	0.052125197905249054
Netherlands	Jersey	0.10383218045557623	0.005967604433077579
Poland	Jersey	2.658599022819704	0.1332359030568749
Scotland	Jersey	0.36126317765371696	0.020460358056265986
Spain	Jersey	0.48283560872912973	0.027158689562781634
Wales	Jersey	0.8624517460384812	0.047497259773474604
Luxembourg	Leningrad_region	1.2513638429038945	0.06747046644744854
Netherlands	Leningrad_region	0.4628275066720949	0.026062598952624527
Poland	Leningrad_region	2.9429666108629053	0.1454146876141761
Scotland	Leningrad_region	0.5520988508311688	0.030934112775545
Spain	Leningrad_region	0.3109154254122113	0.017659237608086714
Wales	Leningrad_region	0.7150697183812268	0.039702837656801854
Netherlands	Luxembourg	0.19598271535605322	0.011204481792717087
Poland	Luxembourg	2.4890255353813546	0.1258068444769212
Scotland	Luxembourg	0.4895149989253355	0.02752405309950067
Spain	Luxembourg	0.7539842143046381	0.041773231031543054
Wales	Luxembourg	1.0738362207324297	0.05845816587504567
Poland	Netherlands	2.8396653369826774	0.1410303251735477
Scotland	Netherlands	0.5386509742914204	0.03020338570210693
Spain	Netherlands	0.5162828247812447	0.028985507246376812
Wales	Netherlands	0.676322660177557	0.037632444282060654
Scotland	Poland	0.5118159263599398	0.028741931555230787
Spain	Poland	0.3109154254122113	0.017659237608086714
Wales	Poland	1.047736709061034	0.05711849957374254
Spain	Scotland	0.2912922042976286	0.016563146997929608
Wales	Scotland	0.7976763684701433	0.04408720009743028
Wales	Spain	10.870559123961543	0.3859456826208744
