family,GC
Anatidae,44.80809984
Anatidae,44.67467232
Anatidae,44.73746174
Anatidae,44.83164587
Anatidae,44.76369917
Anatidae,44.9964681
Anatidae,45.05925752
Anatidae,45.01216545
Anatidae,45.05140884
Anatidae,44.87088926
Anatidae,44.91798132
Anatidae,44.78725075
Anatidae,44.76369917
Anatidae,45.11419826
Anatidae,44.84734322
Anatidae,44.95564105
Anatidae,44.91798132
Anatidae,44.90228397
Anatidae,45.01216545
Anatidae,44.6537918
Anatidae,44.90500864
Anatidae,44.6389325
Anatidae,44.54738164
Anatidae,44.93720565
Anatidae,44.58048819
Anatidae,44.57263951
Anatidae,44.57263951
Anatidae,44.58833687
Anatidae,44.80998744
Anatidae,44.88658661
Anatidae,44.85115073
Anatidae,44.76885645
Anatidae,44.54909348
Anatidae,44.58048819
Anatidae,44.74531042
Anatidae,44.69821835
Anatidae,44.86575601
Anatidae,44.86575601
Anatidae,44.87088926
Anatidae,44.76100777
Anatidae,44.84734322
Anatidae,44.76369917
Anatidae,44.4104255
Anatidae,44.55694216
Anatidae,44.56479083
Anatidae,44.52033286
Anatidae,44.70874549
Anatidae,44.53082057
Anatidae,44.72961306
Anatidae,44.58833687
Anatidae,44.58048819
Anatidae,44.62758025
Anatidae,44.82650338
Anatidae,44.89443529
Anatidae,44.59883812
Anatidae,44.6537918
Anatidae,44.55958549
Anatidae,44.71659601
Anatidae,44.52554745
Anatidae,44.94152735
Anatidae,44.63024023
Anatidae,44.91798132
Anatidae,44.81594851
Anatidae,44.97292206
Anatidae,44.94426127
Anatidae,44.73229706
Anatidae,44.87873793
Anatidae,44.79510127
Anatidae,44.92070969
Anatidae,44.6223897
Anatidae,44.7845538
Anatidae,44.80025116
Anatidae,44.96781284
Anatidae,45.15622547
Anatidae,44.73746174
Anatidae,44.80025116
Anatidae,44.61635121
Anatidae,44.71225563
Anatidae,45.11419826
Anatidae,44.682521
Anatidae,44.74799812
Anatidae,44.73746174
Anatidae,44.87088926
Anatidae,44.94426127
Anatidae,44.8551919
Anatidae,44.69036967
Anatidae,45.06710619
Anatidae,45.03571148
Anatidae,44.67734338
Anatidae,44.79240248
Anatidae,45.09342126
Anatidae,44.95722471
Anatidae,45.10634958
Anatidae,45.09419152
Anatidae,45.12070457
Anatidae,45.09065223
Anatidae,45.06201916
Anatidae,45.08132007
Anatidae,44.68519391
Anatidae,44.78373499
Anatidae,44.53603391
Anatidae,45.01216545
Anatidae,44.9964681
Anatidae,44.94937603
Anatidae,44.40781728
Anatidae,44.40781728
Anatidae,44.58048819
Anatidae,44.48630406
Anatidae,44.39996861
Anatidae,45.10127179
Anatidae,44.75584864
Anatidae,44.64594128
Anatidae,44.66272189
Anatidae,44.74799812
Anatidae,44.99136442
Anatidae,44.8343539
Anatidae,44.94426127
Anatidae,44.88930758
Anatidae,44.99921495
Anatidae,44.77940022
Anatidae,44.80213568
Anatidae,44.84139447
Anatidae,44.69821835
Anatidae,44.96507339
Anatidae,44.91285916
Anatidae,44.72176438
Anatidae,44.83573623
Anatidae,44.86575601
Anatidae,44.91013264
Anatidae,44.91013264
Anatidae,44.91013264
Anatidae,44.89443529
Anatidae,44.88658661
Anatidae,44.52554745
Anatidae,44.44706067
Anatidae,44.75315909
Anatidae,44.63809075
Anatidae,44.69821835
Anatidae,44.63542893
Anatidae,44.84734322
Anatidae,44.63542893
Anatidae,44.50200141
Anatidae,44.66682364
Anatidae,44.73746174
Anatidae,44.69821835
Anatidae,44.66682364
Anatidae,44.83164587
Anatidae,44.74014759
Anatidae,44.48630406
Anatidae,44.69821835
Anatidae,44.90228397
Anatidae,44.71320517
Anatidae,44.79240248
Anatidae,44.51248234
Anatidae,44.98077074
Anatidae,44.63024023
Anatidae,44.695543
Anatidae,44.75315909
Anatidae,44.76100777
Anatidae,44.76100777
Anatidae,44.7845538
Anatidae,44.52818339
Anatidae,44.93367868
Anatidae,44.58313707
Anatidae,44.81594851
Anatidae,45.13774429
Anatidae,44.69821835
Anatidae,44.77940022
Anatidae,45.04356016
Anatidae,45.03571148
Anatidae,44.60668865
Anatidae,44.94937603
Anatidae,44.95722471
Anatidae,44.53603391
Anatidae,44.71391571
Anatidae,44.682521
Anatidae,44.52033286
Anatidae,44.76885645
Anatidae,45.03571148
Anatidae,44.65112629
Anatidae,44.71659601
Anatidae,44.80809984
Anatidae,44.63542893
Anatidae,44.63542893
Anatidae,44.81594851
Anatidae,44.75315909
Anatidae,44.91798132
Anatidae,44.94937603
Anatidae,45.01451322
Anatidae,45.4047619
Anatidae,45.40844624
Anatidae,45.29250098
Anatidae,45.31544256
Anatidae,45.15850596
Anatidae,45.49164247
Anatidae,45.38606403
Anatidae,45.03415247
Anatidae,45.16686298
Anatidae,44.90740741
Anatidae,44.92310107
Anatidae,44.92310107
Anatidae,45.03738686
Anatidae,44.71123666
Anatidae,44.71908349
Anatidae,44.86847271
Anatidae,44.89956058
Anatidae,45.07219083
Anatidae,44.9752883
Anatidae,45.07727308
Anatidae,45.08788449
Anatidae,45.16635279
Anatidae,45.1428123
Anatidae,45.12711864
Anatidae,44.92310107
Anatidae,44.9309479
Anatidae,44.97802888
Anatidae,45.05692972
Anatidae,45.12530442
Anatidae,45.0463181
Anatidae,44.94426127
Anatidae,44.92310107
Anatidae,44.93641074
Anatidae,44.23001491
Anatidae,44.61453917
Anatidae,44.87360653
Anatidae,44.73993881
Anatidae,44.41303494
Anatidae,44.44967443
Anatidae,44.44967443
Anatidae,44.44182945
Anatidae,44.45751942
Anatidae,44.44182945
Anatidae,44.43398447
Anatidae,44.44182945
Anatidae,44.44967443
Anatidae,44.44967443
Anatidae,44.4182945
Anatidae,44.53596925
Anatidae,44.64594128
Anatidae,44.48105437
Anatidae,44.3241547
Anatidae,44.24570487
Anatidae,44.49674433
Anatidae,44.5124343
Anatidae,44.49674433
Anatidae,44.49674433
Anatidae,44.40257497
Anatidae,44.61441908
Anatidae,44.5124343
Anatidae,44.41044952
Anatidae,44.48889935
Anatidae,44.70071389
Anatidae,44.53596925
Anatidae,44.79485369
Anatidae,44.64594128
Anatidae,44.6065741
Anatidae,44.66148898
Anatidae,44.58303915
Anatidae,44.59872911
Anatidae,44.63795403
Anatidae,44.59872911
Anatidae,44.6065741
Anatidae,44.59872911
Anatidae,44.72424884
Anatidae,44.72424884
Anatidae,44.19863497
Anatidae,44.3712246
Anatidae,44.61441908
Anatidae,44.22216992
Anatidae,44.22216992
Anatidae,44.20647996
