Group,GenomicGC,Label
AvH91,44.95088409,Av
AvH91,45.04518664,Av
AvH91,44.81132075,Av
AvH91,44.78749313,Av
AvH91,44.78749313,Av
AvH91,44.95247074,Av
AvH91,44.82677351,Av
AvH91,45.02946955,Av
AvH91,45.07307874,Av
AvH91,45.08525183,Av
AvH91,44.72464451,Av
AvH91,44.56666929,Av
AvH91,44.97603897,Av
AvH91,44.65660852,Av
AvH91,44.43658652,Av
AvH91,44.59109121,Av
AvH91,45.01807324,Av
AvH91,44.92104643,Av
AvH91,44.94461466,Av
AvH91,44.9996072,Av
AvH91,44.8343539,Av
AvH91,44.73870334,Av
AvH91,44.73498233,Av
AvH91,44.69304443,Av
AvH91,44.63809075,Av
AvH91,45.10173619,Av
AvH91,44.94461466,Av
AvH91,44.73498233,Av
AvH91,45.03888758,Av
AvH91,44.8029518,Av
AvH91,44.77424421,Av
AvH91,44.88417746,Av
AvH91,44.93129172,Av
AvH91,44.98625834,Av
AvH91,44.86847271,Av
AvH91,44.96818289,Av
AvH91,44.82650338,Av
AvH91,44.88417746,Av
AvH91,44.94699647,Av
AvH91,44.90806223,Av
AvH91,44.98389504,Av
AvH91,44.85005495,Av
AvH91,44.84220443,Av
AvH91,44.87360653,Av
AvH91,44.77940022,Av
AvH91,44.79510127,Av
AvH91,44.8343539,Av
AvH91,44.77940022,Av
AvH91,44.71659601,Av
AvH91,45.0310315,Av
AvH91,44.88145706,Av
AvH91,44.79510127,Av
AvH91,44.8343539,Av
AvH91,44.81865285,Av
AvH91,45.08833922,Av
AvH91,44.93949395,Av
AvH91,44.70893236,Av
AvH91,44.8029518,Av
AvH91,45.10173619,Av
AvH91,44.84220443,Av
AvH91,44.82162502,Av
AvH91,44.81865285,Av
AvH91,44.70089496,Av
AvH91,44.8343539,Av
AvH91,44.82650338,Av
AvH91,44.82921084,Av
AvH91,44.81865285,Av
AvH91,44.8343539,Av
AvH91,44.84491559,Av
AvH91,44.96270122,Av
AvH91,44.83734088,Av
AvH91,44.81080232,Av
AvH91,44.97840597,Av
AvH91,44.81865285,Av
AvH91,44.84220443,Av
AvH91,44.87632509,Av
AvH91,44.73498233,Av
AvH91,44.84220443,Av
AvH91,44.70089496,Av
AvH91,44.85790548,Av
AvH91,44.81865285,Av
AvH91,44.82650338,Av
AvH91,44.81865285,Av
AvH91,44.81865285,Av
AvH91,44.82162502,Av
AvH91,44.86091466,Av
AvH91,44.64089266,Av
AvH91,44.97055359,Av
AvH91,44.81865285,Av
AvH91,44.95484884,Av
AvH91,44.81865285,Av
AvH91,44.84220443,Av
AvH91,44.80646934,Av
AvH91,44.93914409,Av
AvH91,44.86091466,Av
AvH91,44.8343539,Av
AvH91,44.70874549,Av
AvH91,44.86575601,Av
AvH91,44.80320528,Av
AvH91,44.82948295,Av
AvH91,44.86575601,Av
AvH91,44.70107628,Av
AvH91,45.14101658,Av
AvH91,45.16737388,Av
AvH91,44.95484884,Av
AvH91,44.72815839,Av
AvH91,44.89068441,Av
AvH91,44.84220443,Av
AvH91,44.81865285,Av
AvH91,44.5701713,Av
AvH91,44.56231337,Av
AvH91,44.87632509,Av
AvH91,45.11744835,Av
AvH91,44.84220443,Av
AvH91,44.63303473,Av
AvH91,44.81891743,Av
AvH91,44.96032681,Av
AvH91,44.87390997,Av
AvH91,44.86605389,Av
AvH91,45.07816796,Av
AvH91,44.97603897,Av
AvH91,44.99175112,Av
AvH91,45.18815304,Av
AvH91,45.14887265,Av
AvH91,45.02317543,Av
AvH91,45.08602404,Av
AvH91,45.14887265,Av
AvH91,45.15672873,Av
AvH91,44.91592016,Av
AvH91,44.91592016,Av
AvH91,44.91592016,Av
AvH91,44.91592016,Av
AvH91,44.92377809,Av
AvH91,45.02317543,Av
AvH91,44.66446645,Av
AvH91,44.82406535,Av
AvH91,44.94973296,Av
AvH91,44.94973296,Av
AvH91,44.98389504,Av
