G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,B3.13,HuH3N8
44.52119309,44.81324545,45.03295669,45.00156937,44.84463277,44.90740741,44.89956058,44.82893911,44.72961306,44.99411072,45.01726303,44.81324545,44.62492153,,44.7740113,
44.55259027,44.81324545,45.02510986,44.99372254,44.72712996,44.89956058,44.90740741,44.80539862,44.8524796,44.86817326,45.08788449,44.81324545,44.62492153,,44.78185813,
44.58483755,44.82109228,45.03295669,45.00156937,44.72833373,44.95448839,44.89956058,44.78970496,44.77752492,45.01726303,45.06434401,44.84463277,44.73477715,,44.7740113,
44.49415274,44.82893911,45.08003766,45.00156937,44.67984934,44.92310107,44.93879473,44.8524796,44.83678594,45.07572785,45.07219083,44.8524796,44.72961306,,44.7740113,
44.59353421,44.72693032,45.08003766,45.09573132,44.71123666,44.89956058,44.94664156,44.8524796,44.75831764,45.06003296,45.09573132,44.83678594,,,44.78185813,
44.58568738,44.71123666,44.9309479,45.06201916,44.72693032,44.88386692,44.89956058,44.84463277,57.99045007,45.04865035,45.03295669,44.81324545,,,44.7740113,
44.51506591,44.83678594,45.05649718,45.01726303,44.63424278,44.88386692,44.89171375,44.84463277,44.83678594,45.08003766,45.0094162,44.78970496,,,44.76616447,
44.51071176,44.74882261,45.04080352,45.01726303,44.64846202,44.90740741,44.92310107,44.86032643,44.83868436,45.05649718,45.03295669,44.79755179,,,44.7740113,
44.5342541,44.75315909,45.08003766,45.05649718,44.71123666,44.89171375,44.9309479,44.86032643,44.83949455,45.05649718,45.04080352,44.78970496,,,44.76616447,
44.5386064,44.69471041,45.08003766,45.04865035,44.72693032,44.89171375,44.93879473,44.86032643,44.8524796,45.00156937,45.04080352,,,,44.7740113,
44.55430006,44.69471041,44.93879473,45.04080352,44.71908349,44.89956058,44.89171375,44.86817326,44.82731554,44.97018205,45.04865035,,,,44.73477715,
44.50721908,44.70172684,45.07219083,44.99372254,44.71908349,44.91525424,44.87602009,44.84463277,44.82893911,45.03571148,45.01726303,,,,44.7740113,
44.57784055,44.77670513,45.08003766,45.08003766,44.695543,44.92310107,44.87602009,44.8524796,44.79465138,45.05140884,45.04865035,,,,44.7740113,
44.54994899,44.7845538,44.98587571,45.07219083,44.71123666,44.89956058,44.86817326,44.83678594,44.81594851,45.11850573,45.04080352,,,,44.76534296,
44.4479322,44.77319102,45.05649718,45.02510986,44.70338983,44.87602009,44.86817326,44.83678594,44.83597551,45.10404397,45.04080352,,,,44.7740113,
44.60922787,44.77670513,44.98587571,45.01726303,44.695543,44.89171375,44.91525424,44.83678594,44.83597551,45.05649718,45.04080352,,,,44.79755179,
44.47845538,44.7845538,45.06434401,45.08003766,44.67200251,44.86817326,44.89171375,44.82893911,44.82460959,45.0094162,45.04080352,,,,44.79755179,
44.51420499,44.67550812,44.90740741,45.08003766,44.67984934,44.87602009,44.92310107,44.86032643,44.81676214,45.03295669,,,,,44.73477715,
44.46275803,44.83678594,45.08788449,45.03295669,44.72693032,44.89171375,44.8524796,44.86032643,44.83678594,45.03295669,,,,,44.74613513,
44.47845538,44.81324545,45.06986968,45.04080352,44.86032643,44.88386692,44.84463277,44.76616447,44.82731554,45,,,,,44.75047081,
44.49415274,44.72693032,45.04525777,45.07219083,44.86032643,44.87602009,44.91525424,44.81324545,44.82027939,45.07926542,,,,,44.73312402,
44.42875078,44.80590916,45.02164502,45.07219083,44.695543,44.89956058,44.87602009,44.82109228,44.8524796,44.99725339,,,,,44.74262398,
44.4706067,44.84734322,45.06434401,45.02510986,44.695543,44.90740741,44.87602009,44.83678594,44.82893911,45.02510986,,,,,44.74262398,
